%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553888306261159270,124.0,0.0,11.0,0.0,127.0,23.0
1553888306314157168,119.0,0.0,12.0,0.0,119.0,23.0
1553888306364024006,140.0,0.0,13.0,0.0,141.0,21.0
1553888306416426603,144.0,0.0,12.0,0.0,143.0,23.0
1553888306465569756,119.0,0.0,12.0,0.0,120.0,24.0
1553888306519250078,129.0,0.0,13.0,0.0,131.0,23.0
1553888306568449441,133.0,0.0,12.0,0.0,132.0,23.0
1553888306621584772,155.0,0.0,12.0,0.0,156.0,23.0
1553888306674806142,176.0,0.0,13.0,0.0,176.0,23.0
1553888306724020923,152.0,0.0,13.0,0.0,152.0,22.0
1553888306776817456,163.0,0.0,13.0,0.0,163.0,22.0
1553888306825921523,129.0,0.0,12.0,0.0,128.0,21.0
1553888306879176905,116.0,0.0,12.0,0.0,116.0,22.0
1553888306928670995,119.0,0.0,12.0,0.0,117.0,22.0
1553888306981991159,130.0,0.0,13.0,0.0,127.0,22.0
1553888307035109251,156.0,0.0,12.0,0.0,155.0,23.0
1553888307084361526,145.0,0.0,13.0,0.0,145.0,21.0
1553888307137663801,119.0,0.0,12.0,0.0,118.0,22.0
1553888307186517974,135.0,0.0,12.0,0.0,134.0,21.0
1553888307239782346,131.0,0.0,13.0,0.0,131.0,22.0
1553888307288904459,117.0,0.0,12.0,0.0,115.0,21.0
1553888307342186625,110.0,0.0,12.0,0.0,110.0,23.0
1553888307391387035,125.0,0.0,12.0,0.0,125.0,22.0
1553888307444612765,137.0,0.0,12.0,0.0,140.0,23.0
1553888307497820589,147.0,0.0,12.0,0.0,147.0,21.0
1553888307546912951,137.0,0.0,12.0,0.0,139.0,22.0
1553888307600163770,133.0,0.0,11.0,0.0,134.0,22.0
1553888307649405422,183.0,0.0,15.0,0.0,182.0,22.0
1553888307702756108,160.0,0.0,15.0,0.0,159.0,21.0
1553888307751811939,174.0,0.0,13.0,0.0,174.0,22.0
1553888307804908408,186.0,0.0,12.0,0.0,185.0,22.0
1553888307854249890,159.0,0.0,12.0,0.0,159.0,22.0
1553888307907550002,160.0,0.0,12.0,0.0,159.0,19.0
1553888307960531140,148.0,0.0,12.0,0.0,148.0,22.0
1553888308010261187,138.0,0.0,12.0,0.0,139.0,22.0
1553888308063049486,148.0,0.0,13.0,0.0,147.0,23.0
1553888308112608296,112.0,0.0,12.0,0.0,112.0,22.0
1553888308165729845,131.0,0.0,12.0,0.0,132.0,23.0
1553888308214979525,162.0,0.0,16.0,0.0,163.0,22.0
1553888308268227330,149.0,0.0,13.0,0.0,147.0,21.0
1553888308317331125,125.0,0.0,12.0,0.0,123.0,22.0
1553888308370474317,132.0,0.0,11.0,0.0,133.0,22.0
1553888308423858983,144.0,0.0,12.0,0.0,144.0,23.0
1553888308473040815,127.0,0.0,12.0,0.0,127.0,23.0
1553888308526164678,124.0,0.0,12.0,0.0,125.0,22.0
1553888308575676263,124.0,0.0,12.0,0.0,125.0,23.0
1553888308628444598,126.0,0.0,12.0,0.0,126.0,24.0
1553888308677910320,116.0,0.0,12.0,0.0,116.0,23.0
1553888308730695868,102.0,0.0,12.0,0.0,101.0,23.0
1553888308780439205,111.0,0.0,12.0,0.0,114.0,24.0
1553888308833375101,127.0,0.0,12.0,0.0,126.0,24.0
1553888308886782336,110.0,0.0,11.0,0.0,111.0,22.0
1553888308935910962,122.0,0.0,12.0,0.0,119.0,22.0
1553888308989130049,130.0,0.0,12.0,0.0,130.0,23.0
1553888309037979074,113.0,0.0,12.0,0.0,112.0,22.0
1553888309091713072,116.0,0.0,11.0,0.0,118.0,22.0
