%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553969390537222635,36.0,0.0,11.0,1.0,38.0,47.0
1553969390586401135,34.0,0.0,11.0,1.0,33.0,36.0
1553969390639828835,35.0,0.0,9.0,1.0,35.0,31.0
1553969390690309749,34.0,0.0,11.0,0.0,36.0,67.0
1553969390741999454,35.0,0.0,11.0,1.0,35.0,30.0
1553969390795157473,35.0,0.0,11.0,0.0,36.0,70.0
1553969390844417826,35.0,0.0,11.0,0.0,35.0,29.0
1553969390897612730,35.0,0.0,11.0,1.0,36.0,46.0
1553969390947210117,34.0,0.0,11.0,0.0,33.0,36.0
1553969391001915039,36.0,0.0,11.0,0.0,36.0,29.0
1553969391049282924,36.0,0.0,9.0,0.0,35.0,67.0
1553969391102428167,34.0,0.0,11.0,0.0,35.0,30.0
1553969391151693045,35.0,0.0,11.0,0.0,36.0,72.0
1553969391204893811,35.0,0.0,11.0,0.0,35.0,29.0
1553969391258080839,36.0,0.0,10.0,0.0,36.0,46.0
1553969391307432379,35.0,0.0,11.0,0.0,35.0,36.0
1553969391360731608,35.0,0.0,11.0,1.0,36.0,31.0
1553969391409738973,35.0,0.0,11.0,1.0,35.0,68.0
1553969391462928151,35.0,0.0,10.0,1.0,35.0,30.0
1553969391512188867,35.0,0.0,11.0,0.0,35.0,72.0
1553969391565348985,35.0,0.0,11.0,0.0,35.0,29.0
1553969391614561166,35.0,0.0,13.0,1.0,35.0,46.0
1553969391668049063,34.0,0.0,10.0,0.0,35.0,35.0
1553969391720936944,35.0,0.0,11.0,1.0,35.0,31.0
1553969391770558394,34.0,0.0,11.0,0.0,36.0,68.0
1553969391823337257,35.0,0.0,11.0,1.0,33.0,30.0
1553969391872608032,37.0,0.0,11.0,0.0,35.0,71.0
1553969391925776272,34.0,0.0,11.0,0.0,35.0,30.0
1553969391975037929,35.0,0.0,11.0,1.0,35.0,45.0
1553969392028367547,34.0,0.0,11.0,2.0,34.0,37.0
1553969392077439857,35.0,0.0,11.0,1.0,35.0,31.0
1553969392130652354,34.0,0.0,11.0,0.0,35.0,68.0
1553969392184300318,35.0,0.0,11.0,1.0,33.0,30.0
1553969392233026214,36.0,0.0,11.0,0.0,35.0,70.0
1553969392286269903,33.0,0.0,11.0,0.0,35.0,29.0
1553969392336281430,36.0,0.0,11.0,1.0,35.0,44.0
1553969392388635240,35.0,0.0,12.0,2.0,34.0,38.0
1553969392437928001,35.0,0.0,10.0,1.0,35.0,31.0
1553969392491109062,34.0,0.0,10.0,0.0,35.0,73.0
1553969392544448842,33.0,0.0,11.0,1.0,35.0,30.0
1553969392593529179,35.0,0.0,12.0,1.0,35.0,64.0
1553969392646732529,34.0,0.0,12.0,0.0,34.0,31.0
1553969392696059124,35.0,0.0,10.0,1.0,35.0,34.0
1553969392749526772,34.0,0.0,11.0,0.0,36.0,53.0
1553969392798384032,35.0,0.0,12.0,1.0,35.0,30.0
1553969392851712838,36.0,0.0,11.0,0.0,35.0,71.0
1553969392904727183,35.0,0.0,11.0,1.0,35.0,29.0
1553969392953956896,35.0,0.0,11.0,0.0,36.0,63.0
1553969393007337187,34.0,0.0,13.0,0.0,34.0,31.0
1553969393056411018,35.0,0.0,9.0,1.0,35.0,34.0
1553969393110985150,34.0,0.0,11.0,1.0,35.0,53.0
1553969393160177564,35.0,0.0,11.0,3.0,35.0,31.0
1553969393212019305,35.0,0.0,12.0,0.0,35.0,73.0
1553969393261350999,35.0,0.0,11.0,1.0,35.0,29.0
1553969393314429599,35.0,0.0,11.0,0.0,37.0,62.0
1553969393367628871,34.0,0.0,11.0,1.0,34.0,29.0
1553969393416872413,35.0,0.0,11.0,1.0,35.0,33.0
1553969393470060954,35.0,0.0,11.0,0.0,35.0,54.0
1553969393519291277,35.0,0.0,12.0,1.0,36.0,31.0
1553969393572559723,35.0,0.0,11.0,0.0,35.0,73.0
1553969393622418930,35.0,0.0,11.0,1.0,35.0,29.0
1553969393674894777,36.0,0.0,11.0,1.0,38.0,62.0
1553969393724265980,34.0,0.0,11.0,1.0,33.0,30.0
1553969393777582897,35.0,0.0,11.0,0.0,35.0,33.0
1553969393830480544,35.0,0.0,11.0,0.0,35.0,55.0
1553969393879718088,34.0,0.0,11.0,1.0,35.0,31.0
1553969393932982506,35.0,0.0,12.0,0.0,35.0,73.0
1553969393982121110,35.0,0.0,12.0,1.0,34.0,29.0
1553969394035311312,35.0,0.0,11.0,1.0,35.0,62.0
1553969394084559368,34.0,0.0,11.0,1.0,34.0,31.0
1553969394137881799,34.0,0.0,11.0,2.0,34.0,33.0
1553969394186989368,34.0,0.0,11.0,1.0,34.0,56.0
1553969394240196064,33.0,0.0,11.0,1.0,34.0,31.0
1553969394293338243,34.0,0.0,11.0,1.0,35.0,73.0
1553969394342580910,35.0,0.0,11.0,2.0,34.0,29.0
1553969394395755705,35.0,0.0,12.0,1.0,36.0,61.0
1553969394445155159,34.0,0.0,11.0,1.0,36.0,31.0
1553969394498348187,35.0,0.0,12.0,2.0,35.0,34.0
1553969394547405711,33.0,0.0,12.0,1.0,32.0,56.0
1553969394600592463,35.0,0.0,12.0,2.0,35.0,31.0
1553969394649848636,34.0,0.0,11.0,2.0,35.0,75.0
1553969394703021315,35.0,0.0,12.0,2.0,33.0,30.0
1553969394756161961,36.0,0.0,12.0,2.0,35.0,61.0
1553969394805685120,42.0,0.0,12.0,2.0,41.0,32.0
1553969394858603700,40.0,0.0,12.0,3.0,41.0,33.0
