%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553969883325238814,0.0,0.0,8.0,38.0,0.0,60.0
1553969883378580179,0.0,0.0,5.0,35.0,0.0,83.0
1553969883431552286,0.0,0.0,8.0,37.0,0.0,58.0
1553969883480798354,0.0,0.0,8.0,36.0,0.0,99.0
1553969883533972627,0.0,0.0,8.0,36.0,0.0,56.0
1553969883583215308,0.0,0.0,8.0,35.0,0.0,88.0
1553969883636401571,0.0,0.0,6.0,33.0,0.0,57.0
1553969883685654054,0.0,0.0,8.0,36.0,0.0,60.0
1553969883738899030,0.0,0.0,8.0,36.0,0.0,78.0
1553969883788066700,0.0,0.0,8.0,36.0,0.0,58.0
1553969883841230448,0.0,0.0,8.0,35.0,0.0,97.0
1553969883894440696,0.0,0.0,6.0,35.0,0.0,55.0
1553969883943677486,0.0,0.0,7.0,36.0,0.0,93.0
1553969883996953307,0.0,0.0,8.0,36.0,0.0,57.0
1553969884046141890,0.0,0.0,8.0,35.0,0.0,58.0
1553969884099310511,0.0,0.0,8.0,33.0,0.0,83.0
1553969884152506195,0.0,0.0,8.0,36.0,0.0,56.0
1553969884201706411,0.0,0.0,8.0,35.0,0.0,98.0
1553969884254964858,0.0,0.0,8.0,35.0,0.0,55.0
1553969884304189065,0.0,0.0,10.0,35.0,0.0,85.0
1553969884357398245,0.0,0.0,8.0,36.0,0.0,57.0
1553969884406641888,0.0,0.0,9.0,36.0,0.0,59.0
1553969884459750057,0.0,0.0,8.0,35.0,0.0,79.0
1553969884509004898,0.0,0.0,8.0,35.0,0.0,58.0
1553969884562348690,0.0,0.0,8.0,35.0,0.0,98.0
1553969884615478627,0.0,0.0,8.0,35.0,0.0,55.0
1553969884665043989,0.0,0.0,8.0,35.0,0.0,91.0
1553969884717794683,0.0,0.0,7.0,34.0,0.0,56.0
1553969884767015916,0.0,0.0,8.0,35.0,0.0,60.0
1553969884820198161,0.0,0.0,8.0,36.0,0.0,73.0
1553969884869449512,0.0,0.0,8.0,36.0,0.0,57.0
1553969884922770482,0.0,0.0,8.0,35.0,0.0,96.0
1553969884972014039,0.0,0.0,8.0,35.0,0.0,56.0
1553969885025032651,0.0,0.0,9.0,35.0,0.0,94.0
1553969885078228004,0.0,0.0,10.0,34.0,0.0,56.0
1553969885127467099,0.0,0.0,8.0,35.0,0.0,66.0
1553969885180806857,0.0,0.0,7.0,35.0,0.0,66.0
1553969885229877588,0.0,0.0,8.0,36.0,0.0,58.0
1553969885283054755,0.0,0.0,7.0,35.0,0.0,94.0
1553969885332339678,0.0,0.0,8.0,35.0,0.0,54.0
1553969885385707262,0.0,0.0,7.0,35.0,0.0,95.0
1553969885434746031,0.0,0.0,9.0,35.0,0.0,55.0
1553969885487959310,0.0,0.0,8.0,35.0,0.0,70.0
1553969885541074977,0.0,0.0,7.0,35.0,0.0,61.0
1553969885590333624,0.0,0.0,8.0,35.0,0.0,55.0
1553969885644745719,0.0,0.0,8.0,35.0,0.0,92.0
1553969885693101777,0.0,0.0,8.0,35.0,0.0,57.0
1553969885745924566,0.0,0.0,8.0,35.0,0.0,96.0
1553969885795200703,0.0,0.0,8.0,35.0,0.0,55.0
1553969885848410099,0.0,0.0,8.0,33.0,0.0,76.0
1553969885897673839,0.0,0.0,7.0,35.0,0.0,59.0
1553969885950802322,0.0,0.0,8.0,35.0,0.0,56.0
1553969886003953830,0.0,0.0,7.0,36.0,0.0,88.0
1553969886053240087,0.0,0.0,10.0,36.0,0.0,57.0
1553969886106397152,0.0,0.0,6.0,35.0,0.0,95.0
1553969886155665901,0.0,0.0,7.0,35.0,0.0,56.0
1553969886209012878,0.0,0.0,8.0,35.0,0.0,80.0
1553969886258393742,0.0,0.0,8.0,36.0,0.0,57.0
1553969886311277521,0.0,0.0,7.0,36.0,0.0,57.0
1553969886360486162,0.0,0.0,7.0,35.0,0.0,85.0
1553969886413678694,0.0,0.0,8.0,35.0,0.0,57.0
1553969886462862696,0.0,0.0,7.0,35.0,0.0,97.0
1553969886516167413,0.0,0.0,9.0,36.0,0.0,56.0
1553969886569343261,0.0,0.0,9.0,34.0,0.0,77.0
1553969886618527503,0.0,0.0,7.0,35.0,0.0,59.0
1553969886671720495,0.0,0.0,8.0,36.0,0.0,57.0
1553969886724853051,0.0,0.0,8.0,36.0,0.0,90.0
1553969886774148623,0.0,0.0,8.0,38.0,0.0,56.0
1553969886827284778,0.0,0.0,7.0,35.0,0.0,96.0
1553969886876530757,0.0,0.0,9.0,35.0,0.0,55.0
1553969886929707867,0.0,0.0,7.0,36.0,0.0,80.0
1553969886978936414,0.0,0.0,8.0,35.0,0.0,59.0
