%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553973975921029475,90.0,110.0,9.0,0.0,0.0,0.0
1553973975974208456,89.0,99.0,11.0,0.0,0.0,0.0
1553973976027694525,91.0,103.0,11.0,0.0,0.0,0.0
1553973976076613404,88.0,102.0,11.0,0.0,0.0,0.0
1553973976129765441,92.0,102.0,11.0,0.0,0.0,0.0
1553973976179209691,88.0,112.0,12.0,0.0,0.0,0.0
1553973976232215327,92.0,101.0,10.0,0.0,0.0,0.0
1553973976281442208,91.0,112.0,11.0,0.0,0.0,0.0
1553973976334627072,91.0,101.0,11.0,0.0,0.0,0.0
1553973976383871837,92.0,105.0,11.0,0.0,0.0,0.0
1553973976437381376,88.0,103.0,11.0,0.0,0.0,0.0
1553973976490541109,92.0,103.0,11.0,0.0,0.0,0.0
1553973976539413350,89.0,111.0,10.0,0.0,0.0,0.0
1553973976592638184,94.0,100.0,11.0,0.0,0.0,0.0
1553973976641814311,88.0,109.0,11.0,0.0,0.0,0.0
1553973976695080469,89.0,99.0,11.0,0.0,0.0,0.0
1553973976744298481,92.0,105.0,12.0,0.0,0.0,0.0
1553973976797475607,87.0,103.0,11.0,0.0,0.0,0.0
1553973976846734807,94.0,102.0,11.0,0.0,0.0,0.0
1553973976899916202,88.0,111.0,11.0,0.0,0.0,0.0
1553973976949195085,91.0,100.0,11.0,0.0,0.0,0.0
1553973977002730665,89.0,110.0,11.0,0.0,0.0,0.0
1553973977055447745,89.0,99.0,11.0,0.0,0.0,0.0
1553973977104762310,91.0,103.0,11.0,0.0,0.0,0.0
1553973977157950398,86.0,102.0,10.0,0.0,0.0,0.0
1553973977207204691,91.0,101.0,11.0,0.0,0.0,0.0
1553973977260436878,87.0,110.0,11.0,0.0,0.0,0.0
1553973977309954319,91.0,100.0,11.0,0.0,0.0,0.0
1553973977363136823,89.0,110.0,11.0,0.0,0.0,0.0
1553973977412042019,86.0,98.0,11.0,0.0,0.0,0.0
1553973977465151604,91.0,102.0,9.0,0.0,0.0,0.0
1553973977518606148,88.0,103.0,11.0,0.0,0.0,0.0
1553973977567702643,92.0,101.0,11.0,0.0,0.0,0.0
1553973977620758602,87.0,110.0,11.0,0.0,0.0,0.0
1553973977670046380,89.0,98.0,11.0,0.0,0.0,0.0
1553973977723210613,88.0,109.0,11.0,0.0,0.0,0.0
1553973977772431885,90.0,97.0,9.0,0.0,0.0,0.0
1553973977825583437,91.0,103.0,12.0,0.0,0.0,0.0
1553973977874866045,85.0,102.0,11.0,0.0,0.0,0.0
1553973977928404347,91.0,101.0,11.0,0.0,0.0,0.0
1553973977981191979,89.0,111.0,11.0,0.0,0.0,0.0
1553973978030459111,91.0,99.0,14.0,0.0,0.0,0.0
1553973978083715477,88.0,109.0,11.0,0.0,0.0,0.0
1553973978133243509,86.0,97.0,11.0,0.0,0.0,0.0
1553973978186169288,89.0,99.0,12.0,0.0,0.0,0.0
1553973978241088640,88.0,108.0,11.0,0.0,0.0,0.0
1553973978288922597,91.0,100.0,11.0,0.0,0.0,0.0
1553973978341705596,88.0,111.0,11.0,0.0,0.0,0.0
1553973978390969401,91.0,99.0,10.0,0.0,0.0,0.0
1553973978444164186,89.0,107.0,11.0,0.0,0.0,0.0
1553973978493396824,85.0,99.0,11.0,0.0,0.0,0.0
1553973978546579076,91.0,100.0,11.0,0.0,0.0,0.0
1553973978595780006,88.0,109.0,11.0,0.0,0.0,0.0
1553973978649002035,92.0,101.0,12.0,0.0,0.0,0.0
1553973978698199141,88.0,111.0,10.0,0.0,0.0,0.0
1553973978751764950,89.0,100.0,11.0,0.0,0.0,0.0
1553973978804927346,90.0,107.0,11.0,0.0,0.0,0.0
1553973978853814841,88.0,100.0,11.0,0.0,0.0,0.0
1553973978907739752,91.0,101.0,11.0,0.0,0.0,0.0
1553973978956247592,91.0,109.0,11.0,0.0,0.0,0.0
1553973979009395874,93.0,100.0,9.0,0.0,0.0,0.0
1553973979058715472,89.0,111.0,11.0,0.0,0.0,0.0
1553973979111820450,91.0,99.0,11.0,0.0,0.0,0.0
1553973979161129149,91.0,107.0,11.0,0.0,0.0,0.0
1553973979214353121,88.0,100.0,11.0,0.0,0.0,0.0
1553973979267424823,91.0,100.0,11.0,0.0,0.0,0.0
1553973979316676650,89.0,110.0,9.0,0.0,0.0,0.0
1553973979369884798,94.0,103.0,11.0,0.0,0.0,0.0
1553973979419099162,90.0,103.0,11.0,0.0,0.0,0.0
1553973979472259066,95.0,104.0,11.0,0.0,0.0,0.0
1553973979521495416,100.0,109.0,12.0,0.0,0.0,0.0
1553973979574680929,101.0,112.0,11.0,0.0,0.0,0.0
1553973979623944779,110.0,115.0,11.0,0.0,0.0,0.0
1553973979677181898,109.0,122.0,11.0,0.0,0.0,0.0
1553973979730277508,113.0,121.0,11.0,0.0,0.0,0.0
1553973979779517521,108.0,121.0,12.0,0.0,0.0,0.0
1553973979832697588,110.0,120.0,14.0,0.0,0.0,0.0
1553973979881946745,111.0,120.0,11.0,0.0,0.0,0.0
1553973979935141721,108.0,117.0,11.0,0.0,0.0,0.0
1553973979984364051,108.0,116.0,11.0,0.0,0.0,0.0
1553973980037896571,103.0,121.0,11.0,0.0,0.0,0.0
1553973980086786193,104.0,114.0,12.0,0.0,0.0,0.0
1553973980140033301,95.0,119.0,11.0,0.0,0.0,0.0
1553973980189308988,93.0,104.0,9.0,0.0,0.0,0.0
1553973980242438089,92.0,110.0,11.0,0.0,0.0,0.0
1553973980295593577,89.0,102.0,12.0,0.0,0.0,0.0
1553973980344846801,90.0,101.0,13.0,0.0,0.0,0.0
1553973980398216881,88.0,111.0,17.0,0.0,0.0,0.0
1553973980447261345,91.0,101.0,17.0,0.0,0.0,0.0
1553973980500450751,88.0,111.0,16.0,0.0,0.0,0.0
1553973980549684347,90.0,99.0,14.0,0.0,0.0,0.0
1553973980602958457,90.0,105.0,14.0,0.0,0.0,0.0
1553973980655990869,86.0,100.0,17.0,0.0,0.0,0.0
1553973980705272703,89.0,100.0,16.0,0.0,0.0,0.0
1553973980758458767,86.0,109.0,13.0,0.0,0.0,0.0
1553973980807689332,91.0,98.0,16.0,0.0,0.0,0.0
1553973980861127031,89.0,108.0,17.0,0.0,0.0,0.0
1553973980910135349,88.0,98.0,25.0,0.0,0.0,0.0
1553973980963323641,92.0,103.0,19.0,0.0,0.0,0.0
1553973981016469491,86.0,102.0,15.0,0.0,0.0,0.0
1553973981065750940,91.0,101.0,14.0,0.0,0.0,0.0
1553973981118963549,87.0,110.0,12.0,0.0,0.0,0.0
1553973981168450204,92.0,100.0,11.0,0.0,0.0,0.0
1553973981221362922,90.0,111.0,12.0,0.0,0.0,0.0
1553973981270595039,90.0,97.0,12.0,0.0,0.0,0.0
1553973981323776617,92.0,104.0,12.0,0.0,0.0,0.0
1553973981373012509,93.0,108.0,20.0,0.0,0.0,0.0
1553973981426204944,95.0,106.0,28.0,0.0,0.0,0.0
1553973981479373484,94.0,116.0,25.0,0.0,0.0,0.0
1553973981528622458,93.0,102.0,40.0,3.0,0.0,0.0
1553973981581797454,94.0,114.0,60.0,0.0,0.0,0.0
1553973981631058648,102.0,109.0,80.0,0.0,0.0,0.0
1553973981684222442,98.0,109.0,87.0,21.0,0.0,0.0
1553973981733469871,94.0,110.0,114.0,19.0,0.0,0.0
1553973981786643423,94.0,104.0,76.0,21.0,0.0,0.0
1553973981835882145,93.0,115.0,105.0,30.0,0.0,0.0
1553973981889059312,106.0,109.0,85.0,24.0,0.0,0.0
1553973981942243071,107.0,122.0,70.0,16.0,0.0,0.0
1553973981991482202,96.0,107.0,81.0,18.0,0.0,0.0
1553973982044684012,92.0,105.0,96.0,36.0,0.0,0.0
1553973982093915759,90.0,106.0,69.0,42.0,0.0,0.0
1553973982147083627,99.0,106.0,61.0,29.0,0.0,0.0
1553973982196339175,97.0,120.0,97.0,17.0,0.0,0.0
1553973982249526336,96.0,103.0,53.0,18.0,0.0,0.0
1553973982298781054,108.0,122.0,71.0,6.0,0.0,0.0
1553973982351953586,95.0,106.0,68.0,6.0,0.0,0.0
1553973982401203971,103.0,110.0,49.0,7.0,0.0,0.0
1553973982454361064,107.0,119.0,75.0,14.0,0.0,0.0
1553973982507540182,101.0,111.0,92.0,9.0,0.0,0.0
1553973982556830764,106.0,125.0,82.0,16.0,0.0,0.0
1553973982609969016,105.0,112.0,73.0,8.0,0.0,0.0
1553973982659278978,94.0,116.0,88.0,24.0,0.0,0.0
1553973982712401620,97.0,105.0,62.0,35.0,0.0,0.0
1553973982761644351,104.0,112.0,91.0,25.0,0.0,0.0
1553973982815194332,101.0,116.0,66.0,14.0,0.0,0.0
1553973982864068489,107.0,114.0,67.0,20.0,0.0,0.0
1553973982917249347,103.0,126.0,118.0,28.0,0.0,0.0
1553973982970445187,108.0,114.0,113.0,19.0,0.0,0.0
1553973983019628820,100.0,118.0,66.0,23.0,0.0,0.0
1553973983072789398,99.0,108.0,55.0,22.0,0.0,0.0
1553973983122183645,97.0,108.0,70.0,32.0,0.0,0.0
1553973983175310886,94.0,113.0,47.0,29.0,0.0,0.0
1553973983228648465,105.0,111.0,61.0,14.0,0.0,0.0
1553973983277702867,103.0,122.0,65.0,11.0,0.0,0.0
1553973983330880259,98.0,106.0,49.0,26.0,0.0,0.0
1553973983380226454,97.0,114.0,61.0,18.0,0.0,0.0
1553973983433307303,104.0,113.0,81.0,22.0,0.0,0.0
1553973983482663009,101.0,110.0,68.0,29.0,0.0,0.0
1553973983535717620,92.0,116.0,116.0,21.0,0.0,0.0
1553973983585115547,100.0,109.0,98.0,17.0,0.0,0.0
1553973983638175095,94.0,115.0,68.0,19.0,0.0,0.0
1553973983691331771,99.0,107.0,56.0,18.0,0.0,0.0
1553973983740835483,110.0,120.0,66.0,14.0,0.0,0.0
1553973983793955497,104.0,113.0,56.0,27.0,0.0,0.0
1553973983842985097,101.0,110.0,57.0,13.0,0.0,0.0
1553973983896365016,103.0,123.0,94.0,9.0,0.0,0.0
1553973983945634746,106.0,112.0,79.0,13.0,0.0,0.0
1553973983998657636,103.0,123.0,93.0,8.0,0.0,0.0
1553973984047874697,97.0,106.0,69.0,5.0,0.0,0.0
1553973984100998369,98.0,113.0,62.0,0.0,0.0,0.0
