%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553973696209112840,90.0,113.0,11.0,0.0,0.0,0.0
1553973696261649115,94.0,103.0,12.0,0.0,0.0,0.0
1553973696314848916,92.0,112.0,12.0,0.0,0.0,0.0
1553973696364098315,92.0,102.0,12.0,0.0,0.0,0.0
1553973696417278695,93.0,105.0,14.0,0.0,0.0,0.0
1553973696466524163,91.0,109.0,12.0,0.0,0.0,0.0
1553973696519684514,96.0,105.0,11.0,0.0,0.0,0.0
1553973696568912275,91.0,114.0,12.0,0.0,0.0,0.0
1553973696622112415,94.0,103.0,13.0,0.0,0.0,0.0
1553973696671627872,93.0,111.0,12.0,0.0,0.0,0.0
1553973696724636550,92.0,102.0,13.0,0.0,0.0,0.0
1553973696777709205,96.0,106.0,13.0,0.0,0.0,0.0
1553973696826987869,93.0,111.0,12.0,0.0,0.0,0.0
1553973696880158212,98.0,107.0,13.0,0.0,0.0,0.0
1553973696929355224,92.0,115.0,12.0,0.0,0.0,0.0
1553973696982525082,96.0,104.0,13.0,0.0,0.0,0.0
1553973697031753441,95.0,113.0,13.0,0.0,0.0,0.0
1553973697084926416,93.0,104.0,12.0,0.0,0.0,0.0
1553973697134172724,96.0,105.0,11.0,0.0,0.0,0.0
1553973697187366117,94.0,111.0,13.0,0.0,0.0,0.0
1553973697240510888,98.0,107.0,13.0,0.0,0.0,0.0
1553973697289781270,94.0,116.0,13.0,0.0,0.0,0.0
1553973697343585094,96.0,105.0,13.0,0.0,0.0,0.0
1553973697392220710,96.0,113.0,14.0,0.0,0.0,0.0
1553973697445554949,93.0,105.0,12.0,0.0,0.0,0.0
1553973697494647100,97.0,106.0,13.0,0.0,0.0,0.0
1553973697547816289,97.0,116.0,12.0,0.0,0.0,0.0
1553973697597066390,99.0,107.0,13.0,0.0,0.0,0.0
1553973697650259144,94.0,116.0,12.0,0.0,0.0,0.0
1553973697699496646,97.0,105.0,13.0,0.0,0.0,0.0
1553973697752648064,99.0,113.0,12.0,0.0,0.0,0.0
1553973697805818300,94.0,105.0,11.0,0.0,0.0,0.0
1553973697855035538,96.0,106.0,13.0,0.0,0.0,0.0
1553973697908188358,95.0,115.0,14.0,0.0,0.0,0.0
1553973697957856615,98.0,107.0,15.0,0.0,0.0,0.0
1553973698010655496,97.0,116.0,13.0,0.0,0.0,0.0
1553973698059890950,96.0,104.0,13.0,0.0,0.0,0.0
1553973698113082663,96.0,110.0,14.0,0.0,0.0,0.0
1553973698162403795,93.0,105.0,13.0,0.0,0.0,0.0
1553973698218174482,96.0,106.0,14.0,0.0,0.0,0.0
1553973698268665469,94.0,115.0,12.0,0.0,0.0,0.0
1553973698317983502,98.0,107.0,14.0,0.0,0.0,0.0
1553973698371200250,96.0,115.0,13.0,0.0,0.0,0.0
1553973698420417316,95.0,105.0,13.0,0.0,0.0,0.0
1553973698473661229,96.0,107.0,14.0,0.0,0.0,0.0
1553973698526958189,93.0,111.0,15.0,0.0,0.0,0.0
1553973698576122642,97.0,107.0,16.0,0.0,0.0,0.0
1553973698629252250,95.0,115.0,11.0,0.0,0.0,0.0
1553973698679154434,96.0,104.0,11.0,0.0,0.0,0.0
1553973698731691120,94.0,112.0,13.0,0.0,0.0,0.0
1553973698781355737,93.0,104.0,13.0,0.0,0.0,0.0
1553973698834505829,96.0,105.0,13.0,0.0,0.0,0.0
1553973698883766030,93.0,112.0,12.0,0.0,0.0,0.0
1553973698936880323,97.0,106.0,13.0,0.0,0.0,0.0
1553973698990186484,92.0,115.0,12.0,0.0,0.0,0.0
1553973699039464205,95.0,104.0,13.0,0.0,0.0,0.0
1553973699092502775,96.0,112.0,13.0,0.0,0.0,0.0
1553973699141420696,93.0,104.0,15.0,0.0,0.0,0.0
1553973699194696092,96.0,106.0,16.0,0.0,0.0,0.0
1553973699244061890,94.0,112.0,13.0,0.0,0.0,0.0
1553973699296885093,97.0,105.0,12.0,0.0,0.0,0.0
1553973699346476191,93.0,115.0,13.0,0.0,0.0,0.0
1553973699399595985,94.0,103.0,13.0,0.0,0.0,0.0
1553973699448556958,96.0,111.0,13.0,0.0,0.0,0.0
1553973699501769519,93.0,105.0,13.0,0.0,0.0,0.0
1553973699555302006,97.0,104.0,14.0,0.0,0.0,0.0
1553973699604289650,93.0,112.0,13.0,0.0,0.0,0.0
1553973699657329349,98.0,106.0,13.0,0.0,0.0,0.0
1553973699706665112,93.0,115.0,15.0,0.0,0.0,0.0
1553973699759822256,95.0,103.0,13.0,0.0,0.0,0.0
1553973699810052378,96.0,110.0,13.0,0.0,0.0,0.0
1553973699862546287,91.0,104.0,13.0,0.0,0.0,0.0
1553973699911856141,95.0,103.0,13.0,0.0,0.0,0.0
1553973699965302941,94.0,114.0,13.0,0.0,0.0,0.0
1553973700017875155,97.0,106.0,13.0,0.0,0.0,0.0
1553973700067048595,94.0,115.0,15.0,0.0,0.0,0.0
1553973700120251173,95.0,105.0,16.0,0.0,0.0,0.0
1553973700169531967,96.0,110.0,14.0,0.0,0.0,0.0
1553973700222699447,95.0,106.0,13.0,0.0,0.0,0.0
1553973700271866723,96.0,106.0,16.0,0.0,0.0,0.0
1553973700325079774,93.0,115.0,19.0,0.0,0.0,0.0
1553973700374368586,96.0,105.0,22.0,0.0,0.0,0.0
1553973700427653560,93.0,115.0,18.0,0.0,0.0,0.0
1553973700480935372,94.0,103.0,18.0,0.0,0.0,0.0
1553973700529915229,95.0,108.0,21.0,0.0,0.0,0.0
1553973700583141350,91.0,105.0,19.0,0.0,0.0,0.0
1553973700632559104,97.0,107.0,24.0,0.0,0.0,0.0
1553973700685538490,93.0,116.0,43.0,0.0,0.0,0.0
1553973700734767927,95.0,105.0,40.0,0.0,0.0,0.0
1553973700787934698,95.0,116.0,46.0,0.0,0.0,0.0
1553973700837281707,96.0,105.0,69.0,0.0,0.0,0.0
1553973700890328813,98.0,108.0,96.0,0.0,0.0,0.0
1553973700943558841,95.0,116.0,154.0,0.0,0.0,0.0
1553973700992778003,98.0,109.0,187.0,9.0,0.0,0.0
1553973701045984505,101.0,123.0,244.0,13.0,0.0,0.0
1553973701095333009,104.0,112.0,252.0,11.0,0.0,0.0
1553973701148421199,100.0,116.0,236.0,17.0,0.0,0.0
1553973701201572507,96.0,107.0,229.0,10.0,0.0,0.0
1553973701250921615,103.0,110.0,221.0,9.0,0.0,0.0
1553973701304502063,100.0,117.0,178.0,4.0,0.0,0.0
1553973701353234917,100.0,112.0,264.0,10.0,0.0,0.0
1553973701406452479,93.0,114.0,222.0,5.0,0.0,0.0
1553973701455654852,95.0,102.0,170.0,1.0,0.0,0.0
1553973701508855175,97.0,114.0,221.0,6.0,0.0,0.0
1553973701558103809,96.0,106.0,186.0,2.0,0.0,0.0
1553973701611404021,103.0,111.0,232.0,7.0,0.0,0.0
1553973701660533703,95.0,119.0,294.0,11.0,0.0,0.0
1553973701713681133,100.0,104.0,189.0,14.0,0.0,0.0
1553973701766890017,96.0,115.0,163.0,0.0,0.0,0.0
1553973701816106074,96.0,102.0,125.0,0.0,0.0,0.0
1553973701869671878,97.0,112.0,179.0,7.0,0.0,0.0
1553973701918856374,95.0,107.0,168.0,8.0,0.0,0.0
1553973701971695663,98.0,107.0,161.0,7.0,0.0,0.0
